GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0009101,glycoprotein biosynthetic process,biological_process,73,6011,0.8454395915068493,0.7630574372600233,0.2871821608677798,278980.0,2.403905818415499e-05,high_c,0.0003759622072765141,3.424855809317515,4.6190825513713305
GO:0009067,aspartate family amino acid biosynthetic process,biological_process,31,6011,0.8658412277419355,0.7630574372600233,0.438294314381271,133315.5,2.492899508439199e-05,high_c,0.00038639942380807587,3.4129635298682413,4.603295228038533
GO:0043021,ribonucleoprotein complex binding,molecular_function,86,6011,0.8390510710465116,0.7630574372600233,0.26336178981454217,321873.0,2.6754515651665876e-05,high_c,0.00041102512540966337,3.3861316294785464,4.5726029068356
GO:0019941,modification-dependent protein catabolic process,biological_process,194,6011,0.8182573259278351,0.7630574372600233,0.17577168944916166,663428.0,3.0316251432489618e-05,high_c,0.00046165800427019275,3.335679630199231,4.5183244997032315
GO:0005576,extracellular region,cellular_component,68,6011,0.8365643636764705,0.7630574372600233,0.2930882600389979,261284.0,3.154572145335392e-05,high_c,0.0004762032386349774,3.3222076553055264,4.501059535792388
GO:1901137,carbohydrate derivative biosynthetic process,biological_process,204,6011,0.81016137372549,0.7630574372600233,0.17041974358195144,693256.0,3.421511309576382e-05,high_c,0.0005120468649503965,3.290690288520432,4.465782020133987
GO:0046434,organophosphate catabolic process,biological_process,62,6011,0.8446147035483872,0.7630574372600233,0.3047354122948287,240618.0,3.562441379297545e-05,high_c,0.000524101545293266,3.2805845597949284,4.448252273329276
GO:0090150,establishment of protein localization to membrane,biological_process,115,6011,0.8343646339130434,0.7630574372600233,0.22480384638074447,415233.0,3.54893219582544e-05,high_c,0.000524101545293266,3.2805845597949284,4.449902297992548
GO:0009152,purine ribonucleotide biosynthetic process,biological_process,38,6011,0.8545941544736844,0.7630574372600233,0.38624688290288756,157321.0,3.947291918069837e-05,high_c,0.0005756614691330055,3.2398328382935677,4.403700754597923
GO:0009070,serine family amino acid biosynthetic process,biological_process,17,6011,0.906308565882353,0.7630574372600233,0.5762036546350271,80306.0,3.979226745159025e-05,high_c,0.0005756614691330055,3.2398328382935677,4.400201313086416
GO:0009084,L-glutamine family amino acid biosynthetic process,biological_process,24,6011,0.8588587616666666,0.7630574372600233,0.4842853961360727,106637.0,4.119270619528089e-05,high_c,0.000590996181446344,3.2284153251798937,4.385179675703917
GO:0016875,"ligase activity, forming carbon-oxygen bonds",molecular_function,37,6011,0.8678268775675675,0.7630574372600233,0.38986056696133686,153606.0,4.2328690681855315e-05,high_c,0.0005929355587543395,3.2269925039344747,4.373365164987829
GO:0004812,aminoacyl-tRNA ligase activity,molecular_function,37,6011,0.8678268775675675,0.7630574372600233,0.38986056696133686,153606.0,4.2328690681855315e-05,high_c,0.0005929355587543395,3.2269925039344747,4.373365164987829
GO:0071806,protein transmembrane transport,biological_process,86,6011,0.8338426232558142,0.7630574372600233,0.25676381120596603,320192.0,4.2352539911024245e-05,high_c,0.0005929355587543395,3.2269925039344747,4.373120539612713
GO:1901606,alpha-amino acid catabolic process,biological_process,37,6011,0.8619973181081082,0.7630574372600233,0.3883947556528742,153444.0,4.523128828245221e-05,high_c,0.0006231866385582305,3.205381866732536,4.344561042455446
GO:0006487,protein N-linked glycosylation,biological_process,42,6011,0.8666774352380953,0.7630574372600233,0.36483737405164773,171081.0,4.4924821983062486e-05,high_c,0.0006231866385582305,3.205381866732536,4.3475136351299914
