GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0090407,organophosphate biosynthetic process,biological_process,0.0004520811945961879,0.022276679674815194,1.652149539995843,3.3447835581127263,42,601,246,6011,0.06988352745424292,1.7076011525506267,enriched,High cross-weight c
GO:0006091,generation of precursor metabolites and energy,biological_process,0.0005210615012326162,0.025007831930415687,1.6019239580684232,3.2831110136110033,29,601,152,6011,0.048252911813643926,1.9082121902093003,enriched,High cross-weight c
GO:1902652,secondary alcohol metabolic process,biological_process,0.0005909764156338407,0.028027668469261736,1.5524130282849902,3.22842985036148,12,601,42,6011,0.019966722129783693,2.8576182552888043,enriched,High cross-weight c
GO:0009154,purine ribonucleotide catabolic process,biological_process,0.0006159203868795867,0.02886901696397595,1.539568004286562,3.210475420584572,9,601,26,6011,0.014975041597337771,3.462114424676821,enriched,High cross-weight c
GO:0019364,pyridine nucleotide catabolic process,biological_process,0.0006159203868795867,0.02886901696397595,1.539568004286562,3.210475420584572,9,601,26,6011,0.014975041597337771,3.462114424676821,enriched,High cross-weight c
GO:0043170,macromolecule metabolic process,biological_process,0.0006385175328481041,0.02975417456847415,1.5264520933013628,3.1948271730839775,241,601,2028,6011,0.40099833610648916,1.1885606500671135,enriched,High cross-weight c
GO:0016072,rRNA metabolic process,biological_process,0.0007474365417420453,0.034232593611785676,1.4655601955563835,3.1264256735602527,53,601,339,6011,0.08818635607321132,1.5636819656521335,enriched,High cross-weight c
GO:0008204,ergosterol metabolic process,biological_process,0.0007775751727812469,0.03521053677876663,1.453327354132332,3.109257614460689,10,601,32,6011,0.016638935108153077,3.1255199667221296,enriched,High cross-weight c
GO:0009261,ribonucleotide catabolic process,biological_process,0.0008432105168182167,0.037795103252737064,1.4225644638684127,3.074063985424181,9,601,27,6011,0.014975041597337771,3.3338879645036053,enriched,High cross-weight c
GO:0009073,aromatic amino acid family biosynthetic process,biological_process,0.000854064315554946,0.037795103252737064,1.4225644638684127,3.06850942341067,8,601,22,6011,0.013311148086522463,3.6369686885493873,enriched,High cross-weight c
GO:0006739,NADP+ metabolic process,biological_process,0.000854064315554946,0.037795103252737064,1.4225644638684127,3.06850942341067,8,601,22,6011,0.013311148086522463,3.6369686885493873,enriched,High cross-weight c
GO:0009152,purine ribonucleotide biosynthetic process,biological_process,0.0008818071501262421,0.037795103252737064,1.4225644638684127,3.0546263840220775,11,601,38,6011,0.018302828618968387,2.8952184954899733,enriched,High cross-weight c
GO:0009156,ribonucleoside monophosphate biosynthetic process,biological_process,0.0008818071501262421,0.037795103252737064,1.4225644638684127,3.0546263840220775,11,601,38,6011,0.018302828618968387,2.8952184954899733,enriched,High cross-weight c
GO:0006364,rRNA processing,biological_process,0.0009083320850319064,0.03811665791377345,1.4188851855058062,3.041755344948242,45,601,276,6011,0.07487520798668885,1.6307060695941547,enriched,High cross-weight c
GO:0016126,sterol biosynthetic process,biological_process,0.001017537077904981,0.04139878009851992,1.3830124560841004,2.992449756612671,10,601,33,6011,0.016638935108153077,3.0308072404578223,enriched,High cross-weight c
GO:0170040,proteinogenic amino acid catabolic process,biological_process,0.001017537077904981,0.04139878009851992,1.3830124560841004,2.992449756612671,10,601,33,6011,0.016638935108153077,3.0308072404578223,enriched,High cross-weight c
GO:0051248,negative regulation of protein metabolic process,biological_process,0.0010700625614693672,0.043098248392849134,1.365540380158953,2.9705908304394097,15,601,63,6011,0.024958402662229616,2.381348546074004,enriched,High cross-weight c
GO:0072526,pyridine-containing compound catabolic process,biological_process,0.001134248075544869,0.04478324298271983,1.3488844601427892,2.9452919489197398,9,601,28,6011,0.014975041597337771,3.214820537199905,enriched,High cross-weight c
GO:0006099,tricarboxylic acid cycle,biological_process,0.001134248075544869,0.04478324298271983,1.3488844601427892,2.9452919489197398,9,601,28,6011,0.014975041597337771,3.214820537199905,enriched,High cross-weight c
GO:0042026,protein refolding,biological_process,0.001134248075544869,0.04478324298271983,1.3488844601427892,2.9452919489197398,9,601,28,6011,0.014975041597337771,3.214820537199905,enriched,High cross-weight c
GO:0005829,cytosol,cellular_component,1.5325283117503178e-10,3.7221861874784234e-08,7.429201906817264,9.81459149362954,159,601,1002,6011,0.26455906821963393,1.5870903783115962,enriched,High cross-weight c
GO:0043226,organelle,cellular_component,9.525122505161478e-10,2.0633474832126825e-07,6.685427627415159,9.021129430038327,483,601,4197,6011,0.8036605657237936,1.151013500253925,enriched,High cross-weight c
GO:0005737,cytoplasm,cellular_component,1.1096088741230594e-09,2.3403987173937686e-07,6.630710148567199,8.954830078640553,307,601,2370,6011,0.5108153078202995,1.2955741836741859,enriched,High cross-weight c
GO:0043229,intracellular organelle,cellular_component,1.7247979175848298e-09,3.456063827360603e-07,6.4614182454713465,8.763261780833547,482,601,4195,6011,0.8019966722129783,1.149178068336642,enriched,High cross-weight c
