gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YBR083W,0.8129949,0.6910155,29.0,mid
YBR084C-A,0.89986616,0.37803364,12.0,mid
YBR084W,0.7317107,0.26214278,2.0,mid
YBR085C-A,0.75863343,0.6095174,23.0,mid
YBR085W,0.7829486,0.59095424,20.0,mid
YBR086C,0.39353383,0.21030849,0.0,mid
YBR087W,0.6331034,0.30699196,2.0,mid
YBR088C,0.6334328,0.508291,12.0,mid
YBR089C-A,0.806168,0.48994917,13.0,mid
YBR089W,0.4743796,0.3437463,5.0,mid
YBR090C,0.28295577,0.5181353,20.0,low_c
YBR091C,0.7165712,0.34495082,4.0,mid
YBR092C,0.9318483,0.4108011,13.0,mid
YBR093C,0.7849864,0.5883861,22.0,mid
YBR094W,0.664308,0.15958956,0.0,mid
YBR095C,0.829131,0.20631531,0.0,mid
YBR096W,0.8227662,0.3265418,2.0,mid
YBR097W,0.77406734,0.25365037,0.0,mid
YBR098W,0.6260052,0.34107444,1.0,mid
YBR099C,0.5997535,0.43198445,7.0,mid
YBR101C,0.8562311,0.40965366,9.0,mid
YBR102C,0.5435409,0.2515423,0.0,mid
YBR103C-A,0.3857953,0.54093796,14.0,mid
YBR103W,0.9109116,0.24190037,0.0,mid
YBR104W,0.75314736,0.3591113,3.0,mid
YBR105C,0.5758642,0.38338977,6.0,mid
YBR106W,0.9584668,0.2470933,1.0,high_c
YBR107C,0.5414899,0.19444066,1.0,mid
YBR108W,0.7313531,0.22924805,0.0,mid
YBR109C,0.7621768,0.353507,1.0,mid
YBR109W-A,0.5558068,0.74390894,36.0,mid
YBR110W,0.89447945,0.25532046,2.0,mid
YBR111C,0.63256514,0.39182135,7.0,mid
YBR111W-A,0.76462907,0.26411772,0.0,mid
YBR112C,0.8628968,0.30315998,1.0,mid
YBR113W,0.45629662,0.45577234,8.0,mid
YBR114W,0.7637707,0.29761118,3.0,mid
YBR115C,0.7403096,0.0,0.0,mid
YBR116C,0.82512534,0.1380569,0.0,mid
YBR117C,0.94522256,0.4316325,11.0,high_c
YBR118W,0.97170705,0.2625672,1.0,high_c
YBR119W,0.5089991,0.21808718,0.0,mid
YBR120C,0.6828833,0.30602086,0.0,mid
YBR121C,0.75174797,0.23268284,0.0,mid
YBR121C-A,0.8109493,0.0,0.0,mid
YBR122C,0.88063985,0.1994971,1.0,mid
YBR123C,0.74250895,0.24807931,1.0,mid
YBR124W,0.6543962,0.32821566,5.0,mid
YBR125C,0.7637512,0.17856278,0.0,mid
YBR126C,0.9326794,0.45564103,11.0,mid
YBR126W-A,0.82977444,0.6572935,26.0,mid
YBR126W-B,0.81781626,0.49079844,6.0,mid
YBR127C,0.93177205,0.14588702,0.0,mid
YBR128C,0.561337,0.31009406,2.0,mid
YBR129C,0.6262264,0.23303606,2.0,mid
YBR130C,0.650092,0.21710654,1.0,mid
YBR131C-A,0.56370574,0.31649345,10.0,mid
YBR131W,0.62539715,0.2684001,0.0,mid
YBR132C,0.84673613,0.43635103,10.0,mid
YBR133C,0.5727342,0.26154152,1.0,mid
YBR134W,0.34801212,0.39816257,4.0,low_c
YBR135W,0.83580965,0.23989908,4.0,mid
YBR136W,0.8115569,0.2388093,0.0,mid
YBR137W,0.9045365,0.30683193,1.0,mid
YBR138C,0.77996254,0.27978745,3.0,mid
YBR139W,0.8542482,0.3688042,5.0,mid
YBR140C,0.7065729,0.25940192,0.0,mid
YBR141C,0.4280093,0.35169178,3.0,mid
YBR141W-A,0.30551744,0.3734869,2.0,low_c
YBR142W,0.7731202,0.3931841,3.0,mid
YBR143C,0.9516203,0.28520826,2.0,high_c
YBR144C,0.5586621,0.37711415,5.0,mid
YBR145W,0.87559867,0.629806,31.0,mid
YBR146W,0.7495785,0.13459365,1.0,mid
YBR147W,0.76450837,0.7942066,34.0,mid
YBR148W,0.7315195,0.29885024,3.0,mid
YBR149W,0.6670926,0.39865577,9.0,mid
YBR150C,0.5977291,0.33607125,3.0,mid
YBR151W,0.7434061,0.21456164,0.0,mid
YBR152W,0.6224819,0.31456146,0.0,mid
YBR153W,0.6247098,0.28670046,0.0,mid
YBR154C,0.71105987,0.22334974,1.0,mid
YBR155W,0.38180813,0.34834903,6.0,mid
YBR156C,0.6838195,0.32364568,2.0,mid
YBR157C,0.74316823,0.45847952,13.0,mid
YBR158W,0.7973669,0.42857885,2.0,mid
YBR159W,0.54081714,0.2858318,0.0,mid
YBR160W,0.7876139,0.19394729,0.0,mid
YBR161W,0.7994273,0.31891048,1.0,mid
YBR162C,0.9707347,0.2655209,4.0,high_c
YBR162W-A,0.66948324,0.3645248,6.0,mid
YBR163W,0.8210968,0.2847589,3.0,mid
YBR164C,0.8613353,0.21075474,1.0,mid
YBR165W,0.88354146,0.30068773,1.0,mid
YBR166C,0.7547167,0.22212268,0.0,mid
YBR167C,0.7293216,0.26571667,0.0,mid
YBR168W,0.63531625,0.2657012,0.0,mid
YBR169C,0.8277016,0.5712807,26.0,mid
YBR170C,0.8506491,0.18324953,0.0,mid
YBR171W,0.90914047,0.26912344,1.0,mid
YBR172C,0.67721534,0.3604222,1.0,mid
YBR173C,0.89262843,0.1753992,1.0,mid
YBR174C,0.44805133,0.5198994,11.0,mid
YBR175W,0.64640033,0.24343763,2.0,mid
YBR176W,0.6268456,0.1834776,0.0,mid
YBR177C,0.9371469,0.24510697,3.0,mid
YBR178W,0.7430716,0.3903688,5.0,mid
YBR179C,0.54225016,0.21176599,0.0,mid
YBR180W,0.9266824,0.28455502,6.0,mid
YBR181C,0.79556245,0.33373106,13.0,mid
YBR182C,0.7893749,0.32749423,3.0,mid
YBR182C-A,0.94690406,0.44294333,17.0,high_c
YBR183W,0.6993917,0.5511165,27.0,mid
YBR184W,0.9447426,0.33211184,5.0,high_c
YBR185C,0.89680576,0.28239536,0.0,mid
YBR186W,0.83450675,0.38304755,12.0,mid
YBR187W,0.76686156,0.30944315,0.0,mid
