gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YBR020W,0.9170145,0.5597033,15.0,mid
YBR021W,0.684025,0.42001235,7.0,mid
YBR022W,0.46696803,0.25028643,0.0,mid
YBR023C,0.49182704,0.27224344,0.0,mid
YBR024W,0.92499393,0.22704782,1.0,mid
YBR025C,0.8685617,0.2527528,0.0,mid
YBR026C,0.7223765,0.24997911,4.0,mid
YBR027C,0.23822848,0.1386359,0.0,low_c
YBR028C,0.9197695,0.232401,1.0,mid
YBR029C,0.9439728,0.3121443,3.0,mid
YBR030W,0.8786625,0.24424034,0.0,mid
YBR031W,0.961118,0.28994504,2.0,high_c
YBR032W,0.41631213,0.28632328,6.0,mid
YBR033W,0.8792611,0.3354889,4.0,mid
YBR034C,0.8184431,0.3796861,4.0,mid
YBR035C,0.9433537,0.30200726,3.0,mid
YBR036C,0.8165595,0.16643915,0.0,mid
YBR037C,0.9276127,0.2157366,2.0,mid
YBR038W,0.62866473,0.2541251,2.0,mid
YBR039W,0.9021521,0.24705252,4.0,mid
YBR040W,0.71241647,0.32519236,9.0,mid
YBR041W,0.81701463,0.27884942,0.0,mid
YBR042C,0.7438892,0.18174547,0.0,mid
YBR043C,0.66042084,0.37496302,6.0,mid
YBR044C,0.90451103,0.2436046,0.0,mid
YBR045C,0.5485428,0.39250705,9.0,mid
YBR046C,0.8801323,0.5788202,26.0,mid
YBR047W,0.6398416,0.48952124,16.0,mid
YBR048W,0.89908475,0.29505965,4.0,mid
YBR049C,0.8615516,0.19759974,1.0,mid
YBR050C,0.7535168,0.44944853,10.0,mid
YBR051W,0.31862557,0.36169517,6.0,low_c
YBR052C,0.9448332,0.36196813,5.0,mid
YBR053C,0.72144496,0.39412573,8.0,mid
YBR054W,0.7252197,1.2534833,61.0,mid
YBR055C,0.8479096,0.22180842,0.0,mid
YBR056C-B,0.46982643,0.42714062,6.0,mid
YBR056W,0.85823697,0.42303425,8.0,mid
YBR056W-A,0.93433136,0.43695462,9.0,mid
YBR057C,0.64309967,0.20247935,0.0,mid
YBR058C,0.86725605,0.17039905,1.0,mid
YBR058C-A,0.88672954,0.35530144,5.0,mid
YBR059C,0.67372614,0.20788127,0.0,mid
YBR060C,0.91270125,0.27086827,0.0,mid
YBR061C,0.82491535,0.2099953,0.0,mid
YBR062C,0.84384054,0.21388455,1.0,mid
YBR063C,0.748185,0.29590547,1.0,mid
YBR064W,0.42864445,0.27640125,6.0,mid
YBR065C,0.7945052,0.22866377,2.0,mid
YBR066C,0.8953466,0.49614665,14.0,mid
YBR067C,0.91724217,0.7677492,40.0,mid
YBR068C,0.8800992,0.37298226,8.0,mid
YBR069C,0.92332894,0.29387948,2.0,mid
YBR070C,0.60633594,0.36292452,6.0,mid
YBR071W,0.8949188,0.3153837,3.0,mid
YBR072C-A,0.7286982,0.569613,26.0,mid
YBR072W,0.7980902,1.0896239,61.0,mid
YBR073W,0.9155364,0.25076395,4.0,mid
YBR074W,0.8356974,0.182253,0.0,mid
YBR076C-A,0.28075394,0.28699994,3.0,low_c
YBR076W,0.7749206,0.27976552,2.0,mid
YBR077C,0.83462125,0.23284888,0.0,mid
YBR078W,0.9045685,0.25323752,1.0,mid
YBR079C,0.94184434,0.19638918,1.0,mid
YBR080C,0.9139558,0.25657967,1.0,mid
YBR081C,0.7355963,0.22931941,1.0,mid
YBR082C,0.80296844,0.31330812,1.0,mid
YBR083W,0.814896,0.6910155,29.0,mid
YBR084C-A,0.84800655,0.37803364,12.0,mid
YBR084W,0.668071,0.26214278,2.0,mid
YBR085C-A,0.88820887,0.6095174,23.0,mid
YBR085W,0.9013028,0.59095424,20.0,mid
YBR086C,0.70592815,0.21030849,0.0,mid
YBR087W,0.6437983,0.30699196,2.0,mid
YBR088C,0.7445609,0.508291,12.0,mid
YBR089C-A,0.72689277,0.48994917,13.0,mid
YBR089W,0.5898351,0.3437463,5.0,mid
YBR090C,0.51073295,0.5181353,20.0,mid
YBR091C,0.7022972,0.34495082,4.0,mid
YBR092C,0.97429216,0.4108011,13.0,high_c
YBR093C,0.884528,0.5883861,22.0,mid
YBR094W,0.55955404,0.15958956,0.0,mid
YBR095C,0.93495417,0.20631531,0.0,mid
YBR096W,0.94918644,0.3265418,2.0,mid
YBR097W,0.8104273,0.25365037,0.0,mid
YBR098W,0.55243474,0.34107444,1.0,mid
YBR099C,0.4857055,0.43198445,7.0,mid
YBR101C,0.81468034,0.40965366,9.0,mid
YBR102C,0.7516045,0.2515423,0.0,mid
YBR103C-A,0.2583142,0.54093796,14.0,low_c
YBR103W,0.95189816,0.24190037,0.0,mid
YBR104W,0.905405,0.3591113,3.0,mid
YBR105C,0.6738376,0.38338977,6.0,mid
YBR106W,0.93195456,0.2470933,1.0,mid
YBR107C,0.82064384,0.19444066,1.0,mid
YBR108W,0.66004026,0.22924805,0.0,mid
YBR109C,0.61417377,0.353507,1.0,mid
YBR109W-A,0.39720446,0.74390894,36.0,mid
YBR110W,0.9140547,0.25532046,2.0,mid
YBR111C,0.8369132,0.39182135,7.0,mid
YBR111W-A,0.8724356,0.26411772,0.0,mid
YBR112C,0.87587976,0.30315998,1.0,mid
YBR113W,0.385975,0.45577234,8.0,mid
YBR114W,0.807888,0.29761118,3.0,mid
YBR115C,0.6717911,0.0,0.0,mid
YBR116C,0.7615217,0.1380569,0.0,mid
YBR117C,0.80199116,0.4316325,11.0,mid
YBR118W,0.95730466,0.2625672,1.0,high_c
YBR119W,0.88766056,0.21808718,0.0,mid
YBR120C,0.8088834,0.30602086,0.0,mid
YBR121C,0.87381023,0.23268284,0.0,mid
YBR121C-A,0.8007514,0.0,0.0,mid
YBR122C,0.8758785,0.1994971,1.0,mid
YBR123C,0.8135255,0.24807931,1.0,mid
YBR124W,0.38531688,0.32821566,5.0,mid
YBR125C,0.8527906,0.17856278,0.0,mid
YBR126C,0.9242994,0.45564103,11.0,mid
YBR126W-A,0.4003587,0.6572935,26.0,mid
YBR126W-B,0.20836253,0.49079844,6.0,low_c
YBR127C,0.98347485,0.14588702,0.0,high_c
YBR128C,0.9144355,0.31009406,2.0,mid
YBR129C,0.78350586,0.23303606,2.0,mid
YBR130C,0.8870617,0.21710654,1.0,mid
YBR131C-A,0.41414136,0.31649345,10.0,mid
YBR131W,0.8352341,0.2684001,0.0,mid
YBR132C,0.86695206,0.43635103,10.0,mid
YBR133C,0.8743497,0.26154152,1.0,mid
YBR134W,0.48271057,0.39816257,4.0,mid
YBR135W,0.8050264,0.23989908,4.0,mid
YBR136W,0.7627167,0.2388093,0.0,mid
YBR137W,0.7698132,0.30683193,1.0,mid
YBR138C,0.8816314,0.27978745,3.0,mid
YBR139W,0.92828774,0.3688042,5.0,mid
YBR140C,0.80927205,0.25940192,0.0,mid
YBR141C,0.72381735,0.35169178,3.0,mid
YBR141W-A,0.8684893,0.3734869,2.0,mid
YBR142W,0.7374718,0.3931841,3.0,mid
YBR143C,0.9756133,0.28520826,2.0,high_c
YBR144C,0.4757639,0.37711415,5.0,mid
YBR145W,0.9449609,0.629806,31.0,mid
YBR146W,0.93149096,0.13459365,1.0,mid
YBR147W,0.4419588,0.7942066,34.0,mid
YBR148W,0.91442776,0.29885024,3.0,mid
YBR149W,0.82024896,0.39865577,9.0,mid
YBR150C,0.25981334,0.33607125,3.0,low_c
YBR151W,0.83963895,0.21456164,0.0,mid
YBR152W,0.5846155,0.31456146,0.0,mid
YBR153W,0.7683543,0.28670046,0.0,mid
YBR154C,0.89805317,0.22334974,1.0,mid
YBR155W,0.70522195,0.34834903,6.0,mid
YBR156C,0.7693854,0.32364568,2.0,mid
YBR157C,0.7320915,0.45847952,13.0,mid
YBR158W,0.9173111,0.42857885,2.0,mid
YBR159W,0.74169075,0.2858318,0.0,mid
YBR160W,0.9519177,0.19394729,0.0,mid
YBR161W,0.68010354,0.31891048,1.0,mid
YBR162C,0.9483529,0.2655209,4.0,mid
YBR162W-A,0.8358699,0.3645248,6.0,mid
YBR163W,0.78178895,0.2847589,3.0,mid
YBR164C,0.97077155,0.21075474,1.0,high_c
YBR165W,0.9221449,0.30068773,1.0,mid
YBR166C,0.82982,0.22212268,0.0,mid
YBR167C,0.6356544,0.26571667,0.0,mid
YBR168W,0.50037426,0.2657012,0.0,mid
YBR169C,0.7576269,0.5712807,26.0,mid
YBR170C,0.8593203,0.18324953,0.0,mid
YBR171W,0.94425327,0.26912344,1.0,mid
YBR172C,0.59807706,0.3604222,1.0,mid
YBR173C,0.83609784,0.1753992,1.0,mid
YBR174C,0.59158045,0.5198994,11.0,mid
YBR175W,0.63969636,0.24343763,2.0,mid
YBR176W,0.6594507,0.1834776,0.0,mid
YBR177C,0.93710333,0.24510697,3.0,mid
YBR178W,0.57410073,0.3903688,5.0,mid
YBR179C,0.8097801,0.21176599,0.0,mid
YBR180W,0.8141573,0.28455502,6.0,mid
YBR181C,0.90884054,0.33373106,13.0,mid
YBR182C,0.51349735,0.32749423,3.0,mid
YBR182C-A,0.67969966,0.44294333,17.0,mid
YBR183W,0.40939388,0.5511165,27.0,mid
YBR184W,0.75227505,0.33211184,5.0,mid
YBR185C,0.82730573,0.28239536,0.0,mid
YBR186W,0.6890889,0.38304755,12.0,mid
YBR187W,0.5779848,0.30944315,0.0,mid
YBR188C,0.5955489,0.21559177,3.0,mid
YBR189W,0.8838155,0.34961784,9.0,mid
YBR190W,0.26634443,0.49604177,14.0,low_c
YBR191W,0.8845479,0.3863179,6.0,mid
YBR191W-A,0.54552597,0.6234525,11.0,mid
YBR192W,0.9241968,0.22224367,0.0,mid
YBR193C,0.73299044,0.29104427,0.0,mid
YBR194W,0.8688264,0.20140126,0.0,mid
YBR195C,0.84254426,0.24897665,0.0,mid
YBR196C,0.9744265,0.29104474,2.0,high_c
YBR196C-A,0.25855184,0.4880334,14.0,low_c
YBR196C-B,0.82601297,0.48180416,13.0,mid
YBR197C,0.45505452,0.23188156,0.0,mid
YBR198C,0.66182554,0.20445381,0.0,mid
YBR199W,0.93553996,0.19025442,0.0,mid
YBR200W,0.9607073,0.14985134,0.0,high_c
YBR200W-A,0.65750957,0.15580039,6.0,mid
YBR201C-A,0.63591725,0.35172814,7.0,mid
YBR201W,0.9019454,0.27146515,4.0,mid
YBR202W,0.71407515,0.23344421,0.0,mid
YBR203W,0.61168045,0.61806303,30.0,mid
YBR204C,0.55623966,0.24930659,1.0,mid
YBR205W,0.8539451,0.18437046,0.0,mid
YBR206W,0.6243244,0.43397504,12.0,mid
YBR207W,0.8934195,0.5126261,16.0,mid
YBR208C,0.6082755,0.6376481,30.0,mid
YBR209W,0.357705,0.42989552,4.0,low_c
YBR210W,0.76731986,0.2698563,1.0,mid
YBR211C,0.77046096,0.18817273,0.0,mid
YBR212W,0.5389512,0.30275607,0.0,mid
YBR213W,0.8808404,0.28048977,3.0,mid
YBR214W,0.847457,0.5107149,14.0,mid
YBR215W,0.9309376,0.24033779,0.0,mid
YBR216C,0.71448696,0.24596094,0.0,mid
YBR217W,0.82094806,0.23176484,0.0,mid
YBR218C,0.9439021,0.3968713,16.0,mid
YBR219C,0.5504513,0.3842222,8.0,mid
YBR220C,0.8634794,0.18359187,0.0,mid
YBR221C,0.93308127,0.28904906,5.0,mid
YBR221W-A,0.19285952,0.64450216,15.0,low_c
YBR222C,0.92313814,0.19853741,2.0,mid
YBR223C,0.86869043,0.25222734,0.0,mid
YBR223W-A,0.28236908,0.1886815,5.0,low_c
YBR224W,0.44377765,0.34504002,5.0,mid
YBR225W,0.8884292,0.37514478,4.0,mid
YBR226C,0.49880883,0.25998,4.0,mid
YBR227C,0.9370968,0.16073313,0.0,mid
YBR228W,0.62425965,0.1434292,0.0,mid
YBR229C,0.78218246,0.22959547,0.0,mid
YBR230C,0.9423493,0.5619938,22.0,mid
YBR230W-A,0.7212963,0.5608638,19.0,mid
YBR231C,0.8698987,0.27140146,0.0,mid
YBR232C,0.51249063,0.3997169,4.0,mid
YBR233W,0.9049021,0.20409264,0.0,mid
YBR233W-A,0.6418272,0.3583165,2.0,mid
YBR234C,0.89438045,0.23124342,0.0,mid
YBR235W,0.7650161,0.21312171,0.0,mid
YBR236C,0.91478044,0.1858018,3.0,mid
YBR237W,0.82032883,0.25184005,0.0,mid
YBR238C,0.83061135,0.34537926,5.0,mid
YBR239C,0.93122756,0.32777652,2.0,mid
YBR240C,0.5852585,0.6735919,19.0,mid
YBR241C,0.9369928,0.4640671,14.0,mid
YBR242W,0.9123062,0.26212877,5.0,mid
YBR243C,0.77230304,0.18568975,0.0,mid
YBR244W,0.8955529,1.2610935,78.0,mid
YBR245C,0.6838328,0.20328537,0.0,mid
YBR246W,0.7194321,0.2030247,0.0,mid
YBR247C,0.9749204,0.38004377,8.0,high_c
YBR248C,0.97732085,0.46322113,11.0,high_c
YBR249C,0.93311906,0.5136405,21.0,mid
YBR250W,0.75248075,0.35018665,2.0,mid
YBR251W,0.8589323,0.14333391,0.0,mid
YBR252W,0.83639145,0.32834268,3.0,mid
YBR253W,0.9363151,0.2503839,1.0,mid
YBR254C,0.65178716,0.26177263,1.0,mid
YBR255C-A,0.8533547,0.18415383,1.0,mid
YBR255W,0.8384045,0.22495027,0.0,mid
YBR256C,0.8536242,0.3494123,5.0,mid
YBR257W,0.9145154,0.2676974,1.0,mid
YBR258C,0.8182827,0.30292815,0.0,mid
YBR259W,0.63717437,0.25108343,0.0,mid
YBR260C,0.89113516,0.2311034,0.0,mid
YBR261C,0.5486892,0.1651288,0.0,mid
YBR262C,0.83989066,0.33730054,1.0,mid
YBR263W,0.9546071,0.22362524,2.0,mid
YBR264C,0.77069145,0.22053279,0.0,mid
YBR265W,0.8931951,0.14187536,0.0,mid
